Mese,Giorno,Prezzo Medio di Chiusura,STD,N,P10,P90,DOY
1,2,18.92055187225342,2.586420346926397,5.0,16.22242259979248,20.884173583984374,2
1,3,17.23298522404262,3.404874258094945,7.0,13.469798278808593,20.501679611206054,3
1,4,16.785178343454998,3.3273656870242205,6.0,13.32390832901001,19.959280967712402,4
1,5,16.55004711151123,3.437540420361198,5.0,13.503088760375977,20.243636703491212,5
1,6,15.757178497314452,2.9251401931688346,5.0,13.670217514038086,18.54722366333008,6
1,7,16.648036384582518,3.2529243810112742,5.0,13.767429542541503,20.19365577697754,7
1,8,18.41547743479411,2.6115599584093383,6.0,15.21957778930664,20.90631675720215,8
1,9,17.834314155578614,2.567825334062833,5.0,15.099192047119141,20.200099563598634,9
1,10,17.551455633980886,2.9916535446122623,7.0,14.218883514404297,20.696120071411134,10
1,11,17.29439338048299,3.012804726370301,6.0,14.287250518798828,20.310404777526855,11
1,12,16.901644134521483,3.184861193210119,5.0,14.08453197479248,20.342172622680664,12
1,13,16.11753978729248,2.816102629303296,5.0,14.11316795349121,18.899953842163086,13
1,14,16.88164520263672,3.3786077952363995,5.0,13.862398529052735,20.58647041320801,14
1,15,17.56020474433899,3.4044240472430896,4.0,14.551969814300538,20.811083221435545,15
1,16,18.982411766052245,2.954747660408814,5.0,15.885416984558105,21.363466262817383,16
1,17,18.559302647908527,3.0916141474850565,6.0,14.931572914123535,21.618900299072266,17
1,18,17.66750011444092,3.2817668844931513,5.0,14.110491943359374,20.668402099609374,18
1,19,16.94039134979248,3.155797176549088,5.0,14.238398361206055,20.35685615539551,19
1,20,14.921905835469564,1.2452968481162476,3.0,13.885445594787598,15.782512855529784,20
1,21,16.351632356643677,3.9144486515968406,4.0,13.850396156311035,20.094108295440677,21
1,22,18.49411090215047,3.4853908412316907,6.0,14.327314853668213,21.933545112609863,22
1,23,18.682347615559895,3.2886670523705726,6.0,14.918288230895996,21.872962951660156,23
1,24,18.12706184387207,3.658443128571439,7.0,13.763075065612792,22.09747772216797,24
1,25,17.6083402633667,3.0169535415971716,6.0,14.304603576660156,20.66935634613037,25
1,26,17.153684234619142,3.2409475863351758,5.0,14.17005958557129,20.634944915771484,26
1,27,16.10773277282715,3.8046664108995656,5.0,13.475610160827637,20.12160453796387,27
1,28,16.86574478149414,3.918720185042334,5.0,13.784393501281738,21.270941543579102,28
1,29,18.424972693125408,3.83811476664211,6.0,13.77794885635376,22.106307983398438,29
1,30,18.86661942799886,3.615048595128533,6.0,14.726068496704102,22.22073268890381,30
1,31,18.288978031703405,3.552578596771727,7.0,13.989606857299805,21.80086479187012,31
2,1,17.95122178395589,3.063217142919072,6.0,14.52684211730957,21.014351844787598,32
2,2,17.315752601623537,2.9782909295724154,5.0,14.430619812011718,20.44418601989746,33
2,3,16.319376945495605,3.8242021155245105,5.0,13.770136642456055,20.39072608947754,34
2,4,17.244132423400877,4.401119521815091,5.0,13.88396987915039,22.210172271728517,35
2,5,18.701475143432617,3.8363667839241424,6.0,14.070889472961426,22.122342109680176,36
2,6,19.22609535853068,3.641311669152272,6.0,15.090104579925537,22.567941665649414,37
2,7,18.44532230922154,3.7900433152013226,7.0,13.899293899536133,22.2204833984375,38
2,8,17.697353998819988,2.6751878643473406,6.0,14.766456604003906,20.49432945251465,39
2,9,17.348355102539063,2.7131558588726823,5.0,14.891327667236329,20.307808685302735,40
2,10,16.882804679870606,4.144319506694303,5.0,14.074801445007324,21.144375610351563,41
2,11,17.61912250518799,4.299597333354451,5.0,14.134749603271484,22.38507957458496,42
2,12,18.98643684387207,3.8719313340189365,6.0,14.550104141235352,22.60516357421875,43
2,13,19.14012622833252,3.681584723303518,6.0,15.207237243652344,22.651119232177734,44
2,14,18.82375226702009,3.8762162094445904,7.0,14.470817756652831,22.683590698242188,45
2,15,18.77132911682129,2.5113703086374723,5.0,16.024109649658204,20.988462829589842,46
2,16,18.02104663848877,2.4962038639040793,5.0,15.886117744445801,20.787760162353514,47
2,17,16.12864335378011,0.6538624270965305,3.0,15.601681900024413,16.64748344421387,48
2,18,17.17899990081787,4.95000285511225,4.0,13.776322364807129,21.850239753723145,49
2,19,18.405044555664062,4.986507196594496,4.0,13.834510993957519,23.107963371276856,50
2,20,19.87764263153076,4.334534025843168,5.0,15.820229148864746,23.240777587890626,51
2,21,19.269302368164062,4.048091595221556,6.0,14.638254165649414,22.821934700012207,52
2,22,18.211735248565674,2.6730930672223168,6.0,15.587289333343506,21.104324340820312,53
2,23,17.57999038696289,2.850997499087533,5.0,15.222931480407714,20.713751983642577,54
2,24,16.712848472595216,4.644044153378181,5.0,13.23934326171875,21.22010040283203,55
2,25,17.669932746887206,4.9823854216559935,5.0,13.453648948669434,23.145146560668945,56
2,26,18.988710403442383,4.377248188285737,6.0,13.993971824645996,23.14631748199463,57
2,27,18.90794086456299,4.167502211405977,6.0,14.149857521057129,22.617724418640137,58
2,28,18.32188974108015,4.084361691216214,7.0,13.995865821838379,22.27213478088379,59
2,29,19.7957706451416,0.0,1.0,19.7957706451416,19.7957706451416,60
3,1,17.96631368001302,2.5751528238742982,6.0,15.293739318847656,20.465197563171387,61
3,2,16.162546920776368,2.967537384543263,5.0,13.619469833374023,18.967683410644533,62
3,3,17.200440406799316,4.2602187332042085,5.0,14.038404655456542,21.203165435791018,63
3,4,18.12273708979289,4.056813685098583,6.0,14.355848789215088,22.35070514678955,64
3,5,19.026899814605713,4.28099875161641,6.0,14.460216999053955,23.105637550354004,65
3,6,19.102482000986736,4.276504382615041,6.0,14.48964548110962,22.95297336578369,66
3,7,19.649272282918293,3.5135809431993588,6.0,15.949254035949707,23.226985931396484,67
3,8,18.202964146931965,2.2887983877288716,6.0,15.94057846069336,20.41122341156006,68
3,9,16.403890991210936,3.4553461257873623,5.0,13.27076473236084,19.43850212097168,69
3,10,17.205192947387694,4.581006749576256,5.0,13.428016853332519,21.540285873413087,70
3,11,18.182617505391438,4.568304270636943,6.0,13.40588665008545,22.46747875213623,71
3,12,19.02239418029785,4.757849986630592,6.0,13.990095138549805,23.059378623962402,72
3,13,19.117074807484943,4.684738035448195,6.0,13.965875148773193,23.259573936462402,73
3,14,19.783949216206867,3.67941049355701,6.0,15.869397163391113,23.407154083251953,74
3,15,18.204137325286865,2.493373931417159,6.0,15.401666164398193,20.563264846801758,75
3,16,15.992897605895996,4.09414074486019,5.0,12.131538200378419,19.66770362854004,76
3,17,16.993764305114745,5.802200768889064,5.0,12.343516159057618,22.685161590576172,77
3,18,18.08877420425415,5.700913238633305,6.0,12.31325101852417,23.158611297607422,78
3,19,19.069990317026775,5.215720437486463,6.0,13.897657871246338,23.693873405456543,79
3,20,18.691281000773113,5.222682468691516,6.0,12.997407913208008,23.399085998535156,80
3,21,19.84928321838379,3.794180743031422,6.0,16.11692237854004,23.71523952484131,81
3,22,18.193703651428223,2.1782237548857655,6.0,15.886590957641602,20.413705825805664,82
3,23,15.70365047454834,4.002147443792956,5.0,11.902299118041991,19.10628890991211,83
3,24,17.183591079711913,6.2640300227202435,5.0,12.169539642333984,23.01147804260254,84
3,25,18.12766758600871,5.707213691672103,6.0,12.93222188949585,23.528708457946777,85
3,26,19.123013337453205,5.458723135148801,6.0,13.552709102630615,24.04116725921631,86
3,27,19.05384651819865,5.357958257085573,6.0,13.53025197982788,23.898104667663574,87
3,28,20.11098861694336,3.7513782111095497,6.0,16.48958110809326,23.902560234069824,88
3,29,18.208544540405274,2.287443541017019,5.0,16.410041046142577,20.773669052124024,89
3,30,15.075164794921875,2.826124787278511,4.0,12.391137504577637,16.749262046813964,90
3,31,17.60947608947754,5.494435725695205,5.0,13.387592697143555,22.712107467651368,91
4,1,18.613008817036945,5.134272807182564,6.0,13.882657051086426,23.54284381866455,92
4,2,20.067150497436522,5.225184172094677,5.0,15.079394912719726,24.658636856079102,93
4,3,19.756264527638752,5.072904279869753,6.0,14.35021448135376,24.530818939208984,94
4,4,20.224051475524902,3.427781225680279,6.0,16.569767951965332,23.51400089263916,95
4,5,18.75266965230306,2.393862769718638,6.0,16.469362258911133,21.382081985473633,96
4,6,16.822175598144533,3.0271909536722945,5.0,14.251270294189453,19.587490463256835,97
4,7,17.755929470062256,5.157211693744627,4.0,13.76866512298584,22.460447311401367,98
4,8,18.48482656478882,4.275720056785914,6.0,14.113871097564697,22.801958084106445,99
4,9,19.66613006591797,4.552171042826737,6.0,14.778454780578613,23.63543128967285,100
4,10,20.884933471679688,3.322580605713603,5.0,17.72331314086914,23.94379005432129,101
4,11,20.2936209042867,3.828143212644566,6.0,16.291746616363525,24.13367462158203,102
4,12,18.755013465881348,2.2541321349391,6.0,16.537521362304688,21.14277935028076,103
4,13,16.957707405090332,3.3895471216413964,5.0,13.958994102478027,20.025581741333006,104
4,14,17.976654624938966,5.391707852687409,5.0,13.926738166809082,23.059138107299805,105
4,15,19.37975730895996,5.543131642741288,5.0,14.259615707397462,24.440176010131836,106
4,16,19.80031617482503,5.169063552312203,6.0,14.831405639648438,24.70723533630371,107
4,17,19.77298402786255,5.346057117452596,6.0,14.388104915618896,24.832592964172363,108
4,18,19.225845336914062,2.154972683603727,5.0,16.906039810180665,21.192642211914062,109
4,19,18.728432846069335,2.272634201354412,5.0,16.81599006652832,21.25709114074707,110
4,20,16.97691059112549,3.7270366603562715,5.0,13.509932518005371,20.112044906616212,111
4,21,18.23947048187256,6.2808807243670834,5.0,13.355259132385253,24.178518295288086,112
4,22,19.108859062194824,5.957797333720882,6.0,13.901655197143555,24.86019992828369,113
4,23,20.079116662343342,6.102798351179295,6.0,14.056139469146729,25.769022941589355,114
4,24,20.061394691467285,6.420702042217591,6.0,13.925782203674316,26.15187644958496,115
4,25,20.859782854715984,5.253271491239478,6.0,16.45981502532959,26.162235260009766,116
4,26,18.663445313771565,2.2129409348920155,6.0,16.409017086029053,21.045793533325195,117
4,27,16.67261028289795,3.6529218055870767,5.0,13.18711814880371,20.11103172302246,118
4,28,18.49353771209717,7.02708698465525,5.0,13.480101394653321,25.52759475708008,119
4,29,19.071927706400555,6.115701187919053,6.0,14.100999355316162,25.435845375061035,120
4,30,19.807613531748455,5.737164918782997,6.0,14.168552875518799,25.261475563049316,121
5,1,20.10945240656535,5.52599779719772,6.0,15.241669178009033,25.206122398376465,122
5,2,20.520260492960613,4.886889258736355,6.0,16.457653045654297,25.25254535675049,123
5,3,18.43194850285848,2.3433059764426516,6.0,15.694337368011475,20.778797149658203,124
5,4,16.7088716506958,3.136714791528793,5.0,13.696035194396973,19.758493423461914,125
5,5,18.597779846191408,6.5683757597797685,5.0,13.732938003540038,25.2957706451416,126
5,6,19.268038113911945,6.2422147131575985,6.0,14.01059341430664,25.701313018798828,127
5,7,20.086055437723797,6.027352586060454,6.0,14.52364730834961,25.804512977600098,128
5,8,20.442197640736897,5.945578449833489,6.0,15.68439245223999,25.959224700927734,129
5,9,20.873332023620605,5.1912815371956595,6.0,16.96864604949951,25.852713584899902,130
5,10,18.5716077486674,2.774685414489928,6.0,15.248549938201904,21.240877151489258,131
5,11,16.484442138671874,3.5493035211960637,5.0,13.02169303894043,20.158680725097657,132
5,12,18.31939353942871,7.190550909811304,5.0,13.012464141845703,25.920256423950196,133
5,13,18.809985955556233,6.873967241949534,6.0,13.171530723571777,26.422205924987793,134
5,14,20.167002995808918,6.839565628784026,6.0,13.655142784118652,27.141809463500977,135
5,15,20.680432478586834,6.543032920947359,6.0,15.116441249847412,27.151987075805664,136
5,16,21.143086115519207,5.515957481945731,6.0,16.848862648010254,26.854453086853027,137
5,17,18.283206462860107,3.2016499422182085,6.0,14.632864475250244,21.48016929626465,138
5,18,15.9257417678833,3.5144427644388796,5.0,12.574758720397949,19.65925827026367,139
5,19,18.060830688476564,7.857874896811351,5.0,12.352729797363281,26.23618621826172,140
5,20,18.83440891901652,7.0907302771040115,6.0,12.745664596557617,26.79794216156006,141
5,21,19.723555246988933,6.950447681385327,6.0,12.743339538574219,26.978032112121582,142
5,22,20.460698922475178,6.28109283619926,6.0,15.051538944244385,26.672852516174316,143
5,23,21.120405356089275,5.414788195427079,6.0,16.89903211593628,26.785964012145996,144
5,24,18.252478917439777,3.137139461493425,6.0,14.710127830505371,21.423866271972656,145
5,25,17.00952982902527,3.0576752580166238,4.0,14.157299518585205,19.855198287963866,146
5,26,14.854799032211304,2.7462366091250985,4.0,12.401076984405517,17.47716407775879,147
5,27,18.197407960891724,8.61119624543183,4.0,12.710708236694336,26.36887884140015,148
5,28,19.513097953796386,7.387513035095504,5.0,12.780159950256348,27.29118881225586,149
5,29,20.551066207885743,6.817573129251767,5.0,14.473621368408203,27.142786407470705,150
5,30,21.7681095123291,4.937287981758437,5.0,18.300830078125,26.85652847290039,151
5,31,18.812975311279295,2.371857474428628,5.0,16.39715232849121,21.167176055908204,152
6,1,16.27359733581543,3.1346530357273488,5.0,13.292602348327637,19.42795753479004,153
6,2,18.56071319580078,6.848645299968383,5.0,13.619627380371094,25.53764572143555,154
6,3,19.2037672996521,6.4036450489754575,6.0,13.65635061264038,26.330119132995605,155
6,4,19.983825206756592,6.0410842680218995,6.0,13.935168743133545,26.103717803955078,156
6,5,20.71285088857015,5.423964212479169,6.0,16.349571228027344,26.160139083862305,157
6,6,20.9878724416097,5.0466690879238385,6.0,17.207195281982422,26.191739082336426,158
6,7,18.373917897542317,2.72167832877138,6.0,15.22156047821045,21.0076265335083,159
6,8,16.67959976196289,2.7352672074294873,5.0,14.252817916870118,19.662134170532227,160
6,9,18.545662879943848,6.71872173402175,5.0,14.275653457641601,25.464025497436523,161
6,10,19.004284858703613,6.1450675748135986,6.0,14.317790031433105,25.825716018676758,162
6,11,20.02346118291219,6.275636213814354,6.0,14.000210285186768,26.27411460876465,163
6,12,20.554681460062664,5.8767892790040674,6.0,15.69896125793457,26.316381454467773,164
6,13,20.746079603830974,5.263524137118179,6.0,16.504973888397217,25.933648109436035,165
6,14,18.061795393625896,2.6787863004109647,6.0,14.894774913787842,20.76035785675049,166
6,15,16.376075744628906,2.9632530124275136,5.0,13.775687408447265,19.60089988708496,167
6,16,18.312353324890136,6.878184499904138,5.0,13.966179847717285,25.400710296630862,168
6,17,18.687901814778645,6.09026348391806,6.0,13.917593002319336,25.34649085998535,169
6,18,19.53562053044637,5.927931067509113,6.0,13.573546886444092,25.349980354309082,170
6,19,17.479286511739094,3.9488152524767477,3.0,14.205140686035156,20.088761138916016,171
6,20,21.626447677612305,4.536162171610112,5.0,18.384746932983397,26.220803833007814,172
6,21,17.996851285298664,2.755864902601235,6.0,14.718332290649414,20.559810638427734,173
6,22,16.02091693878174,2.8871834387759576,5.0,13.599174308776856,19.175237274169923,174
6,23,17.6934175491333,6.58986505572348,5.0,13.538945198059082,24.418947982788087,175
6,24,18.692793528238933,6.26786560045018,6.0,13.402953624725342,25.319135665893555,176
6,25,19.62275743484497,5.819044433543756,6.0,13.749699115753174,25.24564552307129,177
6,26,20.106263319651287,5.626574730514146,6.0,14.968874454498291,25.41262435913086,178
6,27,20.29859733581543,5.121958293090734,6.0,15.9326753616333,25.267067909240723,179
6,28,17.729116598765057,2.943972218615184,6.0,14.253319263458252,20.402287483215332,180
6,29,15.743551445007324,3.0402778463200852,5.0,13.162638854980468,19.09487648010254,181
6,30,17.807777404785156,7.335345500388189,5.0,13.05287208557129,25.427431869506837,182
7,1,18.587091128031414,6.560239650064852,6.0,13.452939510345459,25.51122283935547,183
